"Wijken";"20 % groepen gestandaardiseerd huishouden inkomen|1e 20 % groep (laagst)|2022";"20 % groepen gestandaardiseerd huishouden inkomen|2e 20 % groep|2022";"20 % groepen gestandaardiseerd huishouden inkomen|3e 20 % groep|2022";"20 % groepen gestandaardiseerd huishouden inkomen|4e 20 % groep|2022";"20 % groepen gestandaardiseerd huishouden inkomen|5e 20 % groep (hoogst)|2022"
"West";18,9;15,3;16,5;19,0;30,1
"Noordwest";23,9;18,7;17,0;18,5;21,9
"Overvecht";37,5;22,7;17,0;13,4;9,3
"Noordoost";14,6;13,7;16,7;19,3;35,7
"Oost";20,8;16,6;16,2;15,5;30,9
"Binnenstad";17,7;16,0;18,6;18,6;29,1
"Zuid";22,6;19,3;17,4;19,5;21,1
"Zuidwest";25,8;18,9;17,7;17,3;20,3
"Leidsche Rijn";13,6;12,6;15,6;22,1;36,1
"Vleuten-De Meern";10,5;13,7;16,9;23,2;35,7
