"Wijken";"gem.best.hhink. totaal (x 1.000 euro)|2022";"gem.best.hhink. 1-persoonshuishouden (x 1.000 euro)|2022";"gem.best.hhink. paar zonder kinderen (x 1.000 euro)|2022";"gem.best.hhink. paar met kinderen (x 1.000 euro)|2022";"gem.best.hhink. eenoudergezin (x 1.000 euro)|2022";"totaal aantal woningen|2022";"woningen naar eigendom en prijs|2022";"gemiddelde WOZ-waarde naar eigendomsvorm|2022"
"West";53,4;31,6;65,0;89,9;44,4;13038;13038;384235
"Noordwest";46,2;30,0;59,1;71,3;39,8;21204;21204;343267
"Overvecht";38,6;25,7;48,2;58,6;36,1;17041;17041;258278
"Noordoost";59,2;33,6;69,8;103,1;52,9;17416;17416;475126
"Oost";56,9;32,0;76,8;118,3;55,2;14646;14646;485338
"Binnenstad";52,7;33,7;74,5;141,5;52,0;10404;10404;490735
"Zuid";47,1;29,1;58,3;76,4;47,7;13441;13441;327359
"Zuidwest";45,6;29,9;58,9;69,2;39,8;19032;19032;310941
"Leidsche Rijn";64,2;34,9;67,6;85,8;48,0;17414;17414;450149
"Vleuten-De Meern";69,1;34,2;65,5;92,1;51,5;18814;18814;471383
